PostId,OpenStatus
2,off topic
4,not a real question
8,not a real question
10,not a real question
11,not a real question
13,off topic
16,not a real question
20,not a real question
21,open
23,not a real question
26,not a real question
28,open
32,not a real question
34,open
35,open
37,open
39,open
40,open
43,not a real question
46,not a real question
47,not a real question
51,not a real question
52,open
53,open
60,not a real question
61,off topic
64,open
65,not a real question
67,open
69,open
72,not a real question
73,open
74,not a real question
78,off topic
79,not a real question
80,open
82,not a real question
83,not a real question
84,not a real question
88,off topic
90,open
95,open
98,not a real question
99,not a real question
100,open
101,not a real question
102,not a real question
103,off topic
106,not a real question
107,not a real question
108,open
109,not a real question
111,not a real question
115,open
118,open
119,not a real question
121,open
122,open
128,not constructive
130,not constructive
131,not a real question
135,open
141,open
145,not a real question
150,off topic
152,open
153,not a real question
154,open
156,off topic
158,off topic
159,open
166,open
169,not a real question
170,open
177,open
182,open
183,not a real question
188,open
189,not a real question
190,not a real question
191,not a real question
193,off topic
194,not constructive
195,too localized
197,not constructive
199,open
202,not a real question
203,not a real question
206,not a real question
209,not a real question
210,open
212,not constructive
218,not a real question
220,not a real question
222,open
223,not constructive
225,off topic
227,not a real question
228,not a real question
231,not a real question
232,not a real question
236,not a real question
239,not constructive
241,not a real question
242,not a real question
245,not a real question
246,not a real question
249,open
250,not a real question
252,not a real question
253,open
254,off topic
258,open
260,not a real question
261,not a real question
266,not a real question
267,not a real question
268,not a real question
273,open
276,not a real question
278,not constructive
282,off topic
286,not a real question
288,not a real question
289,not constructive
291,not a real question
292,not a real question
293,off topic
295,not a real question
296,not a real question
297,open
301,off topic
302,not a real question
303,not a real question
309,off topic
310,not constructive
311,off topic
312,off topic
318,off topic
321,not a real question
323,not a real question
327,not constructive
328,open
339,not a real question
343,open
345,off topic
347,open
357,not a real question
365,open
366,open
372,not constructive
373,not constructive
376,open
378,off topic
385,not a real question
391,not a real question
393,off topic
396,open
398,open
400,not a real question
403,not a real question
405,not a real question
409,not a real question
416,not a real question
417,not constructive
418,off topic
420,open
423,not a real question
439,off topic
441,open
442,off topic
443,not a real question
446,off topic
448,open
451,not a real question
452,off topic
454,not a real question
455,not a real question
461,open
462,open
467,not a real question
468,off topic
470,not a real question
471,not a real question
473,off topic
476,open
482,open
488,not a real question
495,not a real question
496,open
497,not a real question
498,off topic
501,not a real question
505,off topic
508,open
511,not a real question
516,not a real question
522,not constructive
523,not a real question
525,not a real question
528,not a real question
531,open
534,off topic
536,open
537,open
540,not a real question
542,not a real question
543,not a real question
544,not a real question
546,not a real question
548,not a real question
550,not a real question
551,not a real question
556,open
557,not a real question
558,open
559,not constructive
562,not a real question
566,not constructive
568,not a real question
569,not a real question
571,not a real question
573,off topic
576,not a real question
577,not a real question
580,not a real question
581,open
582,not a real question
584,off topic
592,open
598,not a real question
602,open
603,not a real question
604,not a real question
606,off topic
608,open
611,not a real question
613,open
614,not constructive
619,open
621,open
625,open
626,not constructive
630,not a real question
632,not a real question
634,not a real question
637,open
639,not a real question
640,open
642,not a real question
644,not a real question
645,open
646,not a real question
648,open
649,off topic
650,not a real question
657,not a real question
659,not a real question
663,not a real question
664,not a real question
665,not a real question
668,not a real question
670,open
673,not constructive
675,not a real question
679,off topic
681,open
683,not constructive
687,off topic
688,not a real question
689,not a real question
690,not a real question
693,not a real question
695,not a real question
697,not a real question
698,not a real question
699,not a real question
701,off topic
709,not a real question
711,off topic
714,open
715,not a real question
716,open
722,not a real question
728,not a real question
730,off topic
734,open
735,not a real question
740,not a real question
746,not constructive
747,open
748,not a real question
750,open
751,not constructive
753,not a real question
754,open
760,not a real question
761,not a real question
762,open
763,not constructive
764,not constructive
766,not constructive
767,not a real question
769,off topic
772,not a real question
777,not a real question
779,not constructive
780,not constructive
781,not a real question
782,not a real question
784,not a real question
790,not a real question
793,open
797,open
798,open
802,off topic
806,open
809,open
812,open
819,open
822,not constructive
825,not a real question
826,open
827,not a real question
843,not a real question
844,open
845,not a real question
852,open
855,open
856,not constructive
857,off topic
860,not a real question
865,not a real question
869,not constructive
871,off topic
872,off topic
874,off topic
877,open
880,not a real question
883,open
889,open
890,not a real question
893,not a real question
900,off topic
901,open
902,off topic
904,open
906,not a real question
908,not a real question
910,open
915,off topic
916,off topic
920,open
921,not a real question
923,open
926,not a real question
935,not a real question
937,open
938,not a real question
939,not a real question
941,not a real question
942,off topic
943,open
944,not a real question
945,not a real question
954,off topic
955,not a real question
956,off topic
957,open
959,not a real question
962,open
964,off topic
965,not a real question
966,open
972,open
975,open
977,open
978,open
983,open
986,off topic
987,not a real question
993,not constructive
995,open
996,open
998,not a real question
999,not a real question
1000,off topic
1006,not a real question
1007,not a real question
1008,not a real question
1010,not a real question
1013,off topic
1014,not a real question
1017,open
1020,off topic
1022,not constructive
1024,not a real question
1026,open
1028,not a real question
1030,not a real question
1032,not a real question
1033,not a real question
1038,not a real question
1039,not a real question
1040,open
1043,not a real question
1044,not constructive
1045,open
1051,not constructive
1052,not a real question
1053,not a real question
1054,open
1058,not a real question
1060,not a real question
1061,open
1063,open
1064,not a real question
1065,not a real question
1066,open
1067,open
1068,not a real question
1069,not a real question
1070,open
1073,not a real question
1074,not a real question
1077,not a real question
1078,open
1079,off topic
1082,not a real question
1086,not a real question
1091,open
1096,open
1097,not a real question
1098,off topic
1099,not a real question
1100,open
1101,not a real question
1103,open
1106,not a real question
1107,open
1108,open
1112,off topic
1115,off topic
1118,not a real question
1120,not a real question
1121,open
1126,open
1127,open
1130,not a real question
1134,not constructive
1135,not a real question
1137,not a real question
1139,not a real question
1140,not a real question
1144,not a real question
1157,not a real question
1163,not a real question
1165,open
1169,off topic
1170,not a real question
1173,not a real question
1174,off topic
1177,not a real question
1178,off topic
1181,open
1185,off topic
1187,not a real question
1188,off topic
1189,not a real question
1191,open
1193,not a real question
1194,not a real question
1195,not a real question
1198,not a real question
1204,not a real question
1205,not a real question
1206,not a real question
1207,open
1208,open
1214,not a real question
1220,off topic
1222,not a real question
1223,not a real question
1224,not a real question
1228,not a real question
1235,off topic
1241,not a real question
1245,not a real question
1247,open
1248,not a real question
1251,off topic
1253,open
1254,open
1255,not a real question
1260,not a real question
1265,not a real question
1267,open
1268,off topic
1269,not a real question
1273,off topic
1275,not a real question
1280,open
1281,not a real question
1282,not a real question
1283,off topic
1284,open
1286,open
1287,not a real question
1288,not constructive
1290,off topic
1292,open
1294,off topic
1297,open
1299,not a real question
1300,not a real question
1301,not a real question
1303,off topic
1309,off topic
1310,open
1311,not a real question
1312,off topic
1313,not a real question
1314,not a real question
1320,not a real question
1321,open
1323,off topic
1324,not a real question
1325,not a real question
1328,not a real question
1332,not a real question
1333,open
1335,not a real question
1336,not a real question
1337,not a real question
1339,off topic
1344,not a real question
1354,not a real question
1357,open
1358,not constructive
1364,not a real question
1367,not a real question
1369,not a real question
1371,not a real question
1372,off topic
1374,off topic
1375,not constructive
1376,open
1377,not a real question
1383,not a real question
1386,not constructive
1388,open
1395,not a real question
1396,not a real question
1403,not constructive
1405,open
1408,not a real question
1410,not a real question
1415,open
1416,not a real question
1417,not a real question
1419,open
1425,open
1428,not a real question
1429,not a real question
1430,not a real question
1437,not a real question
1439,not a real question
1444,open
1446,not a real question
1449,off topic
1450,not constructive
1451,off topic
1452,open
1455,not a real question
1468,off topic
1469,open
1470,not a real question
1473,not a real question
1476,not a real question
1477,not a real question
1478,not constructive
1479,not a real question
1481,not a real question
1485,open
1492,open
1494,not a real question
1496,open
1499,open
1500,open
1501,not a real question
1503,not a real question
1504,not a real question
1505,open
1507,off topic
1509,not a real question
1510,off topic
1511,not a real question
1513,not a real question
1514,not a real question
1516,off topic
1518,not a real question
1521,off topic
1524,not a real question
1525,not constructive
1528,not a real question
1529,off topic
1530,off topic
1531,open
1532,open
1534,off topic
1538,not a real question
1539,open
1542,not a real question
1545,not a real question
1547,not a real question
1548,open
1549,not a real question
1553,not constructive
1554,not a real question
1555,not a real question
1556,not a real question
1558,not a real question
1559,off topic
1560,not a real question
1562,not a real question
1564,not a real question
1569,off topic
1575,off topic
1576,not a real question
1581,open
1586,off topic
1590,not a real question
1591,not a real question
1592,not a real question
1595,not a real question
1599,off topic
1602,not a real question
1605,not a real question
1606,not a real question
1608,open
1610,not a real question
1614,off topic
1615,not a real question
1616,not a real question
1619,off topic
1620,not a real question
1621,not a real question
1622,not a real question
1625,not a real question
1628,open
1629,off topic
1631,open
1635,not a real question
1637,off topic
1638,open
1641,open
1643,open
1647,not a real question
1653,not a real question
1655,not a real question
1656,off topic
1658,not constructive
1660,not a real question
1661,not a real question
1662,not a real question
1663,not a real question
1668,off topic
1670,open
1682,open
1686,not a real question
1687,not a real question
1693,not a real question
1696,not a real question
1700,open
1705,open
1707,not a real question
1715,not constructive
1717,not a real question
1718,not a real question
1719,open
1722,open
1726,open
1728,open
1736,not a real question
1738,open
1739,off topic
1740,off topic
1741,not a real question
1745,not a real question
1746,off topic
1748,not a real question
1749,not a real question
1750,not a real question
1752,open
1756,off topic
1762,not a real question
1763,off topic
1766,off topic
1768,not a real question
1773,off topic
1776,open
1784,not a real question
1785,not a real question
1788,off topic
1789,open
1790,not a real question
1791,not a real question
1792,not a real question
1793,not a real question
1794,open
1798,open
1799,not constructive
1801,open
1804,not a real question
1805,not a real question
1811,open
1814,open
1815,not a real question
1816,off topic
1822,not constructive
1824,not a real question
1827,open
1829,off topic
1831,not a real question
1832,not a real question
1833,not constructive
1834,not constructive
1835,off topic
1836,open
1837,off topic
1840,not a real question
1842,off topic
1844,not a real question
1847,not a real question
1848,not a real question
1849,not a real question
1851,open
1852,not a real question
1854,open
1856,not a real question
1857,off topic
1858,open
1862,not a real question
1863,not a real question
1871,not a real question
1872,not a real question
1873,not constructive
1877,not a real question
1878,not a real question
1881,off topic
1885,not a real question
1891,not a real question
1892,not a real question
1895,not a real question
1896,off topic
1899,not a real question
1902,not a real question
1904,off topic
1909,open
1914,open
1917,not a real question
1918,not a real question
1921,not a real question
1922,open
1927,not a real question
1928,not a real question
1930,not a real question
1936,open
1937,not a real question
1942,not a real question
1945,off topic
1948,open
1953,open
1957,open
1958,open
1961,not a real question
1964,open
1966,not a real question
1970,open
1974,open
1976,not a real question
1977,not a real question
1979,off topic
1980,open
1982,not a real question
1983,open
1984,not a real question
1985,not a real question
1989,off topic
1990,not a real question
1995,not a real question
1999,not a real question
2010,open
2011,not a real question
2013,not a real question
2014,not constructive
2016,not constructive
2018,not a real question
2019,not a real question
2023,not a real question
2024,not a real question
2026,not a real question
2027,not a real question
2029,not a real question
2036,off topic
2039,off topic
2043,not a real question
2044,not a real question
2048,open
2050,not constructive
2053,not a real question
